Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
242,tt0109676,2021-09-20,2021-09-20,,Drop Zone,https://www.imdb.com/title/tt0109676/,movie,5.6,101,1994,"Action, Adventure, Thriller",20535,1994-12-09,John Badham
243,tt0105104,2021-09-20,2021-09-20,,Passenger 57,https://www.imdb.com/title/tt0105104/,movie,5.9,84,1992,"Action, Crime, Thriller",47985,1992-11-05,Kevin Hooks
244,tt0111400,2021-09-20,2021-09-20,,Terminal Velocity,https://www.imdb.com/title/tt0111400/,movie,5.5,102,1994,"Action, Mystery, Romance, Thriller",13834,1994-09-09,Deran Sarafian
245,tt0092675,2021-09-20,2021-09-20,,Bloodsport,https://www.imdb.com/title/tt0092675/,movie,6.8,92,1988,"Action, Biography, Drama, Sport",84578,1988-02-26,Newt Arnold
246,tt0114576,2021-09-20,2021-09-20,,Sudden Death,https://www.imdb.com/title/tt0114576/,movie,5.8,111,1995,"Action, Crime, Thriller",34505,1995-10-26,Peter Hyams
247,tt0111323,2021-09-20,2021-09-20,,Surviving the Game,https://www.imdb.com/title/tt0111323/,movie,6.2,96,1994,"Action, Adventure, Crime, Drama, Thriller",11954,1994-04-15,Ernest R. Dickerson
248,tt0075148,2021-09-20,2021-09-20,,Rocky,https://www.imdb.com/title/tt0075148/,movie,8.1,120,1976,"Drama, Sport",564444,1976-11-20,John G. Avildsen
249,tt0079817,2021-09-20,2021-09-20,,Rocky II,https://www.imdb.com/title/tt0079817/,movie,7.3,119,1979,"Drama, Sport",206816,1979-06-14,Sylvester Stallone
250,tt0084602,2021-09-20,2021-09-20,,Rocky III,https://www.imdb.com/title/tt0084602/,movie,6.8,99,1982,"Drama, Sport",188516,1982-05-24,Sylvester Stallone
251,tt0089927,2021-09-20,2021-09-20,,Rocky IV,https://www.imdb.com/title/tt0089927/,movie,6.8,91,1985,"Drama, Sport",202718,1985-11-21,Sylvester Stallone
252,tt3076658,2021-09-20,2021-09-20,,Creed,https://www.imdb.com/title/tt3076658/,movie,7.6,133,2015,"Action, Drama, Sport",269275,2015-11-19,Ryan Coogler
253,tt6343314,2021-09-20,2021-09-20,,Creed II,https://www.imdb.com/title/tt6343314/,movie,7.1,130,2018,"Drama, Sport",122332,2018-11-14,Steven Caple Jr.
254,tt0089243,2021-09-20,2021-09-20,,Gymkata,https://www.imdb.com/title/tt0089243/,movie,4.3,90,1985,"Action, Thriller",4136,1985-05-03,Robert Clouse
255,tt0308208,2021-09-20,2021-09-20,,Ballistic: Ecks vs. Sever,https://www.imdb.com/title/tt0308208/,movie,3.6,91,2002,"Action, Crime, Mystery, Sci-Fi, Thriller",20063,2002-09-18,Wych Kaosayananda
256,tt1959563,2021-09-20,2021-09-20,,The Hitman's Bodyguard,https://www.imdb.com/title/tt1959563/,movie,6.9,118,2017,"Action, Comedy, Crime, Thriller",227648,2017-08-10,Patrick Hughes
257,tt6288694,2021-09-20,2021-09-20,,Acts of Vengeance,https://www.imdb.com/title/tt6288694/,movie,5.7,87,2017,"Action, Drama, Thriller",12226,2017-10-27,Isaac Florentine
258,tt3501112,2021-09-20,2021-09-20,,Security,https://www.imdb.com/title/tt3501112/,movie,5.7,88,2017,"Action, Crime, Thriller",18940,2017-03-04,Alain Desrochers
259,tt1506999,2021-09-20,2021-09-20,,Haywire,https://www.imdb.com/title/tt1506999/,movie,5.8,93,2011,"Action, Drama, Thriller",86898,2011-11-06,Steven Soderbergh
260,tt0093747,2021-09-20,2021-09-20,,El placer de matar,https://www.imdb.com/title/tt0093747/,movie,4.9,90,1988,"Crime, Thriller",158,1988-09-07,Félix Rotaeta
261,tt0104215,2021-09-20,2021-09-20,,Excessive Force,https://www.imdb.com/title/tt0104215/,movie,5.3,87,1993,Action,1351,1993-05-14,Jon Hess
262,tt0165798,2021-09-20,2021-09-20,,Ghost Dog: The Way of the Samurai,https://www.imdb.com/title/tt0165798/,movie,7.5,116,1999,"Crime, Drama",90573,1999-05-19,Jim Jarmusch
263,tt1742334,2021-09-20,2021-09-20,,Sabotage,https://www.imdb.com/title/tt1742334/,movie,5.7,109,2014,"Action, Crime, Drama, Thriller",63534,2014-03-19,David Ayer
264,tt0084867,2021-09-20,2021-09-20,,Vigilante,https://www.imdb.com/title/tt0084867/,movie,6.4,90,1982,"Action, Crime, Thriller",3791,1982-07-23,William Lustig
265,tt0070787,2021-09-20,2021-09-20,,That Man Bolt,https://www.imdb.com/title/tt0070787/,movie,5.7,104,1973,"Action, Crime, Drama, Mystery, Thriller",337,1973-12-21,"David Lowell Rich, Henry Levin"
266,tt0117774,2021-09-20,2021-09-20,,The Substitute,https://www.imdb.com/title/tt0117774/,movie,6.0,114,1996,"Action, Crime, Drama, Thriller",13947,1996-04-19,Robert Mandel
267,tt6684714,2021-09-20,2021-09-20,,Acts of Violence,https://www.imdb.com/title/tt6684714/,movie,5.3,86,2018,"Action, Crime, Thriller",12368,2018-01-12,Brett Donowho
268,tt2975578,2021-09-20,2021-09-20,,The Purge: Anarchy,https://www.imdb.com/title/tt2975578/,movie,6.4,103,2014,"Action, Horror, Sci-Fi, Thriller",150885,2014-07-17,James DeMonaco
269,tt0421073,2021-09-20,2021-09-20,,Street Kings,https://www.imdb.com/title/tt0421073/,movie,6.8,109,2008,"Action, Crime, Thriller",113318,2008-04-03,David Ayer
270,tt0106856,2021-09-20,2021-09-20,,Falling Down,https://www.imdb.com/title/tt0106856/,movie,7.6,113,1993,"Action, Crime, Drama, Thriller",187813,1993-02-26,Joel Schumacher
271,tt0926110,2021-09-20,2021-09-20,,Missionary Man,https://www.imdb.com/title/tt0926110/,movie,5.0,93,2007,"Action, Drama, Thriller, Western",2510,2007-11-29,Dolph Lundgren
272,tt1206543,2021-09-20,2021-09-20,,Out of the Furnace,https://www.imdb.com/title/tt1206543/,movie,6.7,116,2013,"Action, Crime, Drama, Thriller",115304,2013-11-09,Scott Cooper
273,tt2083379,2021-09-20,2021-09-20,,A Dark Truth,https://www.imdb.com/title/tt2083379/,movie,5.6,106,2012,"Action, Drama, Thriller",6064,2012-09-19,Damian Lee
274,tt6012244,2021-09-20,2021-09-20,,All the Devil's Men,https://www.imdb.com/title/tt6012244/,movie,5.1,99,2018,"Action, Thriller",3032,2018-12-06,Matthew Hope
275,tt3522806,2021-09-20,2021-09-20,,Mechanic: Resurrection,https://www.imdb.com/title/tt3522806/,movie,5.7,98,2016,"Action, Adventure, Crime, Thriller",84180,2016-08-22,Dennis Gansel
276,tt0102422,2021-09-20,2021-09-20,,McBain,https://www.imdb.com/title/tt0102422/,movie,4.7,103,1991,"Crime, Drama, War",1904,1991-09-20,James Glickenhaus
277,tt7374952,2021-09-20,2021-09-20,,El Chicano,https://www.imdb.com/title/tt7374952/,movie,5.3,144,2018,"Action, Crime, Drama, Thriller",1361,2018-09-22,Ben Hernandez Bray
278,tt6079772,2021-09-20,2021-09-20,,The Protégé,https://www.imdb.com/title/tt6079772/,movie,6.1,109,2021,"Action, Thriller",30108,2021-08-19,Martin Campbell
279,tt7888964,2021-09-20,2021-09-20,,Nobody,https://www.imdb.com/title/tt7888964/,movie,7.4,92,2021,"Action, Crime, Drama, Thriller",232027,2021-03-18,Ilya Naishuller
280,tt0083064,2021-09-20,2021-09-20,,Sharky's Machine,https://www.imdb.com/title/tt0083064/,movie,6.3,122,1981,"Action, Crime, Drama, Thriller",6154,1981-12-18,Burt Reynolds
281,tt0102984,2021-09-20,2021-09-20,,Stone Cold,https://www.imdb.com/title/tt0102984/,movie,6.0,92,1991,"Action, Crime, Drama, Thriller",8678,1991-05-17,Craig R. Baxley
282,tt1881024,2021-09-20,2021-09-20,,One in the Chamber,https://www.imdb.com/title/tt1881024/,movie,5.1,91,2012,"Action, Thriller",4799,2012-05-18,William Kaufman
283,tt1393000,2021-09-20,2021-09-20,,Wrong Turn at Tahoe,https://www.imdb.com/title/tt1393000/,movie,6.0,91,2009,"Action, Crime, Drama, Thriller",4358,2009-11-17,Franck Khalfoun
284,tt1205489,2021-09-20,2021-09-20,,Gran Torino,https://www.imdb.com/title/tt1205489/,movie,8.1,116,2008,Drama,765721,2008-12-09,Clint Eastwood
285,tt0102789,2021-09-20,2021-09-20,,Ricochet,https://www.imdb.com/title/tt0102789/,movie,6.1,102,1991,"Action, Crime, Drama, Thriller",18247,1991-10-04,Russell Mulcahy
286,tt0360009,2021-09-20,2021-09-20,,Spartan,https://www.imdb.com/title/tt0360009/,movie,6.5,106,2004,"Action, Crime, Drama, Mystery, Thriller",31888,2004-01-31,David Mamet
287,tt2312718,2021-09-20,2021-09-20,,Homefront,https://www.imdb.com/title/tt2312718/,movie,6.5,100,2013,"Action, Crime, Thriller",119551,2013-11-20,Gary Fleder
288,tt0977214,2021-09-20,2021-09-20,,Hero Wanted,https://www.imdb.com/title/tt0977214/,movie,5.6,94,2008,"Action, Crime, Thriller",7226,2008-03-28,Brian Smrz
289,tt0425210,2021-09-20,2021-09-20,,Lucky Number Slevin,https://www.imdb.com/title/tt0425210/,movie,7.7,110,2006,"Crime, Drama, Thriller",311580,2006-02-24,Paul McGuigan
290,tt1262415,2021-09-20,2021-09-20,,Saluda al diablo de mi parte,https://www.imdb.com/title/tt1262415/,movie,6.0,90,2011,"Action, Drama, Mystery, Thriller",753,2011-08-12,Juan Felipe Orozco
291,tt0094612,2021-09-20,2021-09-20,,Action Jackson,https://www.imdb.com/title/tt0094612/,movie,5.5,96,1988,"Action, Comedy, Crime, Thriller",11212,1988-02-12,Craig R. Baxley
292,tt0098439,2021-09-20,2021-09-20,,Tango & Cash,https://www.imdb.com/title/tt0098439/,movie,6.4,104,1989,"Action, Comedy, Crime, Thriller",104853,1989-12-22,"Andrey Konchalovskiy, Albert Magnoli"
293,tt8836988,2021-09-20,2021-09-20,,Avengement,https://www.imdb.com/title/tt8836988/,movie,6.5,87,2019,"Action, Crime",15899,2019-05-24,Jesse V. Johnson
294,tt10327252,2021-09-20,2021-09-20,,The Forever Purge,https://www.imdb.com/title/tt10327252/,movie,5.4,103,2021,"Action, Horror, Thriller",31807,2021-06-30,Everardo Gout
295,tt0089941,2021-09-20,2021-09-20,,Runaway Train,https://www.imdb.com/title/tt0089941/,movie,7.2,111,1985,"Action, Adventure, Drama, Thriller",29422,1985-11-15,Andrey Konchalovskiy
296,tt0076740,2021-09-20,2021-09-20,,Sorcerer,https://www.imdb.com/title/tt0076740/,movie,7.7,121,1977,"Adventure, Drama, Thriller",21439,1977-06-24,William Friedkin
297,tt0073195,2021-09-20,2021-09-20,,Jaws,https://www.imdb.com/title/tt0073195/,movie,8.1,124,1975,"Adventure, Thriller",589404,1975-06-20,Steven Spielberg
298,tt0107290,2021-09-20,2021-09-20,,Jurassic Park,https://www.imdb.com/title/tt0107290/,movie,8.2,127,1993,"Action, Adventure, Sci-Fi, Thriller",964057,1993-06-09,Steven Spielberg
299,tt0112819,2021-09-20,2021-09-20,,Dead Presidents,https://www.imdb.com/title/tt0112819/,movie,6.9,119,1995,"Action, Crime, Drama, Thriller, War",22273,1995-09-29,"Allen Hughes, Albert Hughes"
300,tt1411250,2021-09-20,2021-09-20,,Riddick,https://www.imdb.com/title/tt1411250/,movie,6.4,119,2013,"Action, Adventure, Sci-Fi, Thriller",165139,2013-08-28,David Twohy
301,tt0296572,2021-09-20,2021-09-20,,The Chronicles of Riddick,https://www.imdb.com/title/tt0296572/,movie,6.6,119,2004,"Action, Adventure, Sci-Fi, Thriller",226593,2004-06-03,David Twohy
302,tt1855199,2021-09-20,2021-09-20,,End of Watch,https://www.imdb.com/title/tt1855199/,movie,7.6,109,2012,"Action, Adventure, Crime, Drama, Thriller",245468,2012-09-08,David Ayer
303,tt2582782,2021-09-20,2021-09-20,,Hell or High Water,https://www.imdb.com/title/tt2582782/,movie,7.6,102,2016,"Crime, Drama, Thriller, Western",227319,2016-05-16,David Mackenzie
304,tt5478478,2021-09-20,2021-09-20,,Hostiles,https://www.imdb.com/title/tt5478478/,movie,7.2,134,2017,"Drama, Western",83884,2017-09-02,Scott Cooper
305,tt0094356,2021-09-20,2021-09-20,,Ying hung ho hon,https://www.imdb.com/title/tt0094356/,movie,6.3,97,1987,"Action, Crime, Drama, Thriller",577,1987-01-24,Taylor Wong
306,tt0116455,2021-09-20,2021-09-20,,Goo wak chai 3: Jek sau je tin,https://www.imdb.com/title/tt0116455/,movie,6.6,98,1996,"Action, Drama",1087,1996-06-29,Andrew Lau
307,tt0120768,2021-09-20,2021-09-20,,The Negotiator,https://www.imdb.com/title/tt0120768/,movie,7.3,140,1998,"Action, Crime, Drama, Mystery, Thriller",141790,1998-07-29,F. Gary Gray
308,tt0130827,2021-09-20,2021-09-20,,Lola rennt,https://www.imdb.com/title/tt0130827/,movie,7.7,81,1998,"Action, Crime, Thriller",197953,1998-08-20,Tom Tykwer
309,tt0119488,2021-09-20,2021-09-20,,L.A. Confidential,https://www.imdb.com/title/tt0119488/,movie,8.2,138,1997,"Crime, Drama, Mystery, Thriller",575000,1997-05-14,Curtis Hanson
310,tt0091209,2021-09-20,2021-09-20,,The Hitcher,https://www.imdb.com/title/tt0091209/,movie,7.2,97,1986,"Action, Thriller",47594,1986-01-17,Robert Harmon
311,tt0115759,2021-09-20,2021-09-20,,Broken Arrow,https://www.imdb.com/title/tt0115759/,movie,6.1,108,1996,"Action, Adventure, Thriller",98288,1996-02-05,John Woo
312,tt0240772,2021-09-20,2021-09-20,,Ocean's Eleven,https://www.imdb.com/title/tt0240772/,movie,7.7,116,2001,"Crime, Thriller",562700,2001-12-05,Steven Soderbergh
313,tt1670345,2021-09-20,2021-09-20,,Now You See Me,https://www.imdb.com/title/tt1670345/,movie,7.2,115,2013,"Crime, Mystery, Thriller",647532,2013-05-21,Louis Leterrier
314,tt0082096,2021-09-20,2021-09-20,,Das Boot,https://www.imdb.com/title/tt0082096/,movie,8.4,149,1981,"Drama, War",248236,1981-09-17,Wolfgang Petersen
315,tt0197094,2021-09-20,2021-09-20,,What Becomes of the Broken Hearted?,https://www.imdb.com/title/tt0197094/,movie,6.3,108,1999,"Crime, Drama, Thriller",3578,1999-05-27,Ian Mune
316,tt0114814,2021-09-20,2021-09-20,,The Usual Suspects,https://www.imdb.com/title/tt0114814/,movie,8.5,106,1995,"Crime, Drama, Mystery, Thriller",1066799,1995-01-25,Bryan Singer
317,tt0110912,2021-09-20,2021-09-20,,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1998790,1994-05-21,Quentin Tarantino
318,tt0061770,2021-09-20,2021-09-20,,Hombre,https://www.imdb.com/title/tt0061770/,movie,7.4,111,1967,Western,12634,1967-03-21,Martin Ritt
319,tt0095631,2021-09-20,2021-09-20,,Midnight Run,https://www.imdb.com/title/tt0095631/,movie,7.5,126,1988,"Action, Comedy, Crime, Thriller",85562,1988-07-11,Martin Brest
320,tt0090293,2021-09-20,2021-09-20,,Warning Sign,https://www.imdb.com/title/tt0090293/,movie,6.1,99,1985,"Drama, Sci-Fi, Thriller",2664,1985-08-23,Hal Barwood
321,tt0073092,2021-09-20,2021-09-20,,Hard Times,https://www.imdb.com/title/tt0073092/,movie,7.2,93,1975,"Crime, Drama, Sport",10650,1975-08-13,Walter Hill
322,tt0293662,2021-09-20,2021-09-20,,The Transporter,https://www.imdb.com/title/tt0293662/,movie,6.8,92,2002,"Action, Crime, Thriller",301206,2002-10-02,"Corey Yuen, Louis Leterrier"
323,tt0093894,2021-09-20,2021-09-20,,The Running Man,https://www.imdb.com/title/tt0093894/,movie,6.6,101,1987,"Action, Sci-Fi, Thriller",152044,1987-11-13,Paul Michael Glaser
324,tt0107362,2021-09-20,2021-09-20,,Last Action Hero,https://www.imdb.com/title/tt0107362/,movie,6.4,130,1993,"Action, Adventure, Comedy, Fantasy",150487,1993-06-13,John McTiernan
325,tt0091828,2021-09-20,2021-09-20,,Raw Deal,https://www.imdb.com/title/tt0091828/,movie,5.5,106,1986,"Action, Crime, Thriller",34336,1986-06-06,John Irvin
326,tt0146675,2021-09-20,2021-09-20,,End of Days,https://www.imdb.com/title/tt0146675/,movie,5.8,122,1999,"Action, Fantasy, Horror, Thriller",110424,1999-11-16,Peter Hyams
327,tt1211956,2021-09-20,2021-09-20,,Escape Plan,https://www.imdb.com/title/tt1211956/,movie,6.7,115,2013,"Action, Thriller",241081,2013-07-18,Mikael Håfström
328,tt2024469,2021-09-20,2021-09-20,,Non-Stop,https://www.imdb.com/title/tt2024469/,movie,6.9,106,2014,"Action, Mystery, Thriller",263066,2014-01-27,Jaume Collet-Serra
329,tt0082340,2021-09-20,2021-09-20,,Escape from New York,https://www.imdb.com/title/tt0082340/,movie,7.1,99,1981,"Action, Adventure, Sci-Fi",140373,1981-04-01,John Carpenter
330,tt1210801,2021-09-20,2021-09-20,,Command Performance,https://www.imdb.com/title/tt1210801/,movie,5.5,93,2009,"Action, Drama, Thriller",3346,2009-07-18,Dolph Lundgren
331,tt1641841,2021-09-20,2021-09-20,,Skin Trade,https://www.imdb.com/title/tt1641841/,movie,5.6,96,2014,"Action, Crime, Thriller",8082,2014-11-07,Ekachai Uekrongtham
332,tt0111255,2021-09-20,2021-09-20,,The Specialist,https://www.imdb.com/title/tt0111255/,movie,5.5,110,1994,"Action, Drama, Thriller",65974,1994-10-07,Luis Llosa
333,tt1245526,2021-09-20,2021-09-20,,RED,https://www.imdb.com/title/tt1245526/,movie,7.0,111,2010,"Action, Comedy, Crime, Thriller",306622,2010-09-29,Robert Schwentke
334,tt0450232,2021-09-20,2021-09-20,,16 Blocks,https://www.imdb.com/title/tt0450232/,movie,6.6,102,2006,"Action, Drama, Thriller",130648,2006-02-27,Richard Donner
335,tt0092860,2021-09-20,2021-09-20,,Deathstalker II,https://www.imdb.com/title/tt0092860/,movie,5.1,85,1987,"Action, Adventure, Comedy, Fantasy",2843,1987-09-12,Jim Wynorski
336,tt0089503,2021-09-20,2021-09-20,,The Lost Empire,https://www.imdb.com/title/tt0089503/,movie,4.6,83,1984,"Action, Adventure, Comedy, Drama, Fantasy, Horror, Romance",1387,1984-06-22,Jim Wynorski
337,tt0090837,2021-09-20,2021-09-20,,Chopping Mall,https://www.imdb.com/title/tt0090837/,movie,5.6,77,1986,"Comedy, Horror, Sci-Fi",14485,1986-03-21,Jim Wynorski
338,tt0102975,2021-09-20,2021-09-20,,Star Trek VI: The Undiscovered Country,https://www.imdb.com/title/tt0102975/,movie,7.2,110,1991,"Action, Adventure, Sci-Fi, Thriller",75453,1991-12-03,Nicholas Meyer
339,tt0108517,2021-09-20,2021-09-20,,Warlock: The Armageddon,https://www.imdb.com/title/tt0108517/,movie,5.3,98,1993,"Action, Fantasy, Horror, Thriller",6148,1993-02-26,Anthony Hickox
340,tt0100258,2021-09-20,2021-09-20,,Night of the Living Dead,https://www.imdb.com/title/tt0100258/,movie,6.8,92,1990,Horror,42083,1990-10-19,Tom Savini
341,tt0089907,2021-09-20,2021-09-20,,The Return of the Living Dead,https://www.imdb.com/title/tt0089907/,movie,7.3,91,1985,"Comedy, Horror, Sci-Fi",60609,1985-04-25,Dan O'Bannon
342,tt0107953,2021-09-20,2021-09-20,,Return of the Living Dead III,https://www.imdb.com/title/tt0107953/,movie,5.9,97,1993,Horror,15258,1993-06-05,Brian Yuzna
343,tt0091630,2021-09-20,2021-09-20,,Night of the Creeps,https://www.imdb.com/title/tt0091630/,movie,6.7,88,1986,"Comedy, Horror, Sci-Fi",23501,1986-08-22,Fred Dekker
344,tt0091530,2021-09-20,2021-09-20,,The Mission,https://www.imdb.com/title/tt0091530/,movie,7.4,125,1986,"Adventure, Drama, History",61094,1986-05-16,Roland Joffé
345,tt0075314,2021-09-20,2021-09-20,,Taxi Driver,https://www.imdb.com/title/tt0075314/,movie,8.2,114,1976,"Crime, Drama",806285,1976-02-08,Martin Scorsese
346,tt0077416,2021-09-20,2021-09-20,,The Deer Hunter,https://www.imdb.com/title/tt0077416/,movie,8.1,183,1978,"Drama, War",335491,1978-12-08,Michael Cimino
347,tt0095897,2021-09-20,2021-09-20,,The Presidio,https://www.imdb.com/title/tt0095897/,movie,5.9,97,1988,"Action, Crime, Mystery, Thriller",18530,1988-06-10,Peter Hyams
348,tt0075784,2021-09-20,2021-09-20,,A Bridge Too Far,https://www.imdb.com/title/tt0075784/,movie,7.4,175,1977,"Drama, History, War",56539,1977-06-15,Richard Attenborough
349,tt0075147,2021-09-20,2021-09-20,,Robin and Marian,https://www.imdb.com/title/tt0075147/,movie,6.5,106,1976,"Adventure, Drama, Romance",12924,1976-03-11,Richard Lester
350,tt0499556,2021-09-20,2021-09-20,,War,https://www.imdb.com/title/tt0499556/,movie,6.2,103,2007,"Action, Crime, Thriller",90733,2007-08-24,Philip G. Atwell
351,tt1280558,2021-09-20,2021-09-20,,A Wednesday,https://www.imdb.com/title/tt1280558/,movie,8.0,104,2008,"Action, Crime, Drama, Mystery, Thriller",78195,2008-09-05,Neeraj Pandey
352,tt0072890,2021-09-20,2021-09-20,,Dog Day Afternoon,https://www.imdb.com/title/tt0072890/,movie,8.0,125,1975,"Biography, Crime, Drama, Thriller",254071,1975-09-19,Sidney Lumet
353,tt0114558,2021-09-20,2021-09-20,,Strange Days,https://www.imdb.com/title/tt0114558/,movie,7.1,145,1995,"Crime, Drama, Sci-Fi, Thriller",71602,1995-09-03,Kathryn Bigelow
354,tt0272207,2021-09-20,2021-09-20,,Narc,https://www.imdb.com/title/tt0272207/,movie,7.1,105,2002,"Crime, Drama, Mystery, Thriller",41043,2002-01-14,Joe Carnahan
355,tt0093164,2021-09-20,2021-09-20,,Heat,https://www.imdb.com/title/tt0093164/,movie,5.6,101,1986,"Action, Crime, Drama, Thriller",2137,1986-11-12,"Jerry Jameson, Dick Richards"
356,tt0037166,2021-09-20,2021-09-20,,Passage to Marseille,https://www.imdb.com/title/tt0037166/,movie,6.8,109,1944,"Adventure, Drama, Romance, War",4528,1944-02-16,Michael Curtiz
357,tt0096446,2021-09-20,2021-09-20,,Willow,https://www.imdb.com/title/tt0096446/,movie,7.2,126,1988,"Action, Adventure, Drama, Fantasy, Romance",113032,1988-05-20,Ron Howard
358,tt0056443,2021-09-20,2021-09-20,,Tsubaki Sanjûrô,https://www.imdb.com/title/tt0056443/,movie,8.0,96,1962,"Action, Drama, Thriller",37995,1962-01-01,Akira Kurosawa
359,tt2493486,2021-09-20,2021-09-20,,Last Knights,https://www.imdb.com/title/tt2493486/,movie,6.1,115,2015,"Action, Drama, History, War",43185,2015-04-03,Kazuaki Kiriya
360,tt0108333,2021-09-20,2021-09-20,,The Three Musketeers,https://www.imdb.com/title/tt0108333/,movie,6.3,105,1993,"Action, Adventure, Comedy, Family, Romance",54885,1993-11-12,Stephen Herek
361,tt0245844,2021-09-20,2021-09-20,,The Count of Monte Cristo,https://www.imdb.com/title/tt0245844/,movie,7.7,131,2002,"Action, Adventure, Drama, Thriller",137281,2002-01-23,Kevin Reynolds
362,tt0076759,2021-09-20,2021-09-20,,Star Wars,https://www.imdb.com/title/tt0076759/,movie,8.6,121,1977,"Action, Adventure, Fantasy, Sci-Fi",1335341,1977-05-25,George Lucas
363,tt0086190,2021-09-20,2021-09-20,,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,movie,8.3,131,1983,"Action, Adventure, Fantasy, Sci-Fi",1031510,1983-05-23,Richard Marquand
364,tt0120915,2021-09-20,2021-09-20,,Star Wars: Episode I - The Phantom Menace,https://www.imdb.com/title/tt0120915/,movie,6.5,136,1999,"Action, Adventure, Fantasy, Sci-Fi",790946,1999-05-16,George Lucas
365,tt3748528,2021-09-20,2021-09-20,,Rogue One,https://www.imdb.com/title/tt3748528/,movie,7.8,133,2016,"Action, Adventure, Sci-Fi",614422,2016-12-10,Gareth Edwards
366,tt2802144,2021-10-04,2021-10-04,,Kingsman: The Secret Service,https://www.imdb.com/title/tt2802144/,movie,7.7,129,2014,"Action, Adventure, Comedy, Thriller",656535,2014-12-13,Matthew Vaughn
367,tt0813980,2021-10-04,2021-10-04,,24: Redemption,https://www.imdb.com/title/tt0813980/,tvMovie,7.4,84,2008,"Action, Adventure, Crime, Drama, Thriller",28309,2008-11-23,Jon Cassar
368,tt0114590,2021-10-04,2021-10-04,,The Sweeper,https://www.imdb.com/title/tt0114590/,video,5.1,90,1996,"Action, Drama, Thriller",572,1996-01-31,Joseph Merhi
369,tt0114224,2021-10-04,2021-10-04,,Rage,https://www.imdb.com/title/tt0114224/,movie,5.6,94,1995,"Action, Crime, Thriller",725,1995-09-30,Joseph Merhi
370,tt0127751,2021-10-04,2021-10-04,,Recoil,https://www.imdb.com/title/tt0127751/,movie,5.2,96,1998,Action,661,1998-01-20,Art Camacho
371,tt0117481,2021-10-04,2021-10-04,,Riot,https://www.imdb.com/title/tt0117481/,movie,5.3,94,1996,"Action, Crime, Thriller",506,1996-12-17,Joseph Merhi
372,tt0118159,2021-10-04,2021-10-04,,White Tiger,https://www.imdb.com/title/tt0118159/,movie,5.1,93,1996,Action,573,1996-04-03,Richard Martin
373,tt0116147,2021-10-04,2021-10-04,,Drive,https://www.imdb.com/title/tt0116147/,movie,6.7,100,1997,"Action, Adventure, Sci-Fi, Comedy",6169,1997-08-04,Steve Wang
374,tt0146455,2021-10-04,2021-10-04,,Babylon 5: A Call to Arms,https://www.imdb.com/title/tt0146455/,tvMovie,7.2,94,1999,"Action, Adventure, Drama, Sci-Fi",5664,1999-01-03,Michael Vejar
375,tt3113696,2021-10-04,2021-10-04,,Don't Kill It,https://www.imdb.com/title/tt3113696/,movie,5.2,83,2016,"Action, Horror",4608,2016-08-27,Mike Mendez
376,tt0402127,2021-10-04,2021-10-04,,The Defender,https://www.imdb.com/title/tt0402127/,movie,4.8,90,2004,Action,1702,2004-12-20,Dolph Lundgren
377,tt0368688,2021-10-04,2021-10-04,,Direct Action,https://www.imdb.com/title/tt0368688/,movie,5.0,97,2004,"Action, Crime, Thriller",1582,2004-05-25,Sidney J. Furie
378,tt0271543,2021-10-04,2021-10-04,,Hidden Agenda,https://www.imdb.com/title/tt0271543/,movie,4.5,95,2001,"Action, Crime, Mystery, Thriller",1215,2001-05-13,Marc S. Grenier
379,tt0119872,2021-10-04,2021-10-04,,The Peacekeeper,https://www.imdb.com/title/tt0119872/,movie,5.0,98,1997,Action,2731,1997-08-13,Frédéric Forestier
380,tt0119088,2021-10-04,2021-10-04,,Executive Target,https://www.imdb.com/title/tt0119088/,movie,4.6,100,1997,"Action, Adventure, Crime, Thriller",1105,1997-06-24,Joseph Merhi
381,tt0116831,2021-10-04,2021-10-04,,Last Man Standing,https://www.imdb.com/title/tt0116831/,video,5.6,96,1995,"Action, Drama",480,1995-09-02,Joseph Merhi
382,tt0110740,2021-10-04,2021-10-04,,Open Fire,https://www.imdb.com/title/tt0110740/,video,4.8,95,1994,"Action, Thriller",257,1994-11-30,Kurt Anderson
383,tt0367478,2021-10-04,2021-10-04,,Wake of Death,https://www.imdb.com/title/tt0367478/,movie,5.5,91,2004,"Action, Adventure, Drama",9499,2004-10-18,Philippe Martinez
384,tt0207377,2021-10-04,2021-10-04,,Chain of Command,https://www.imdb.com/title/tt0207377/,movie,4.6,96,2000,"Action, Adventure, Thriller",885,2000-01-01,John Terlesky
385,tt0167145,2021-10-04,2021-10-04,,Evasive Action,https://www.imdb.com/title/tt0167145/,movie,4.5,91,1998,"Action, Thriller",498,1998-08-26,Jerry P. Jacobs
386,tt0093605,2021-10-04,2021-10-04,,Near Dark,https://www.imdb.com/title/tt0093605/,movie,6.9,94,1987,Horror,39023,1987-09-12,Kathryn Bigelow
